epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2546.93,1.02478,0.46417,1.03718,0.9793,0.94829,0.97573,0.71004,1.04843,0.39964,1.04455,0.005743,0.005743,0.005743
45,2604.35,1.01473,0.4557,1.03144,0.98749,0.94852,0.97838,0.71574,1.04907,0.39549,1.03861,0.005644,0.005644,0.005644
46,2663.03,1.01166,0.4606,1.02846,0.98105,0.9467,0.97749,0.7143,1.04571,0.39511,1.04218,0.005545,0.005545,0.005545
47,2721.73,1.01754,0.45688,1.03072,0.98626,0.94869,0.97566,0.71098,1.05363,0.39588,1.0437,0.005446,0.005446,0.005446
48,2780.62,1.00694,0.45253,1.02683,0.98765,0.94731,0.97794,0.71893,1.0478,0.39754,1.03994,0.005347,0.005347,0.005347
49,2839.37,1.00915,0.45204,1.02612,0.97994,0.94579,0.97663,0.71861,1.0418,0.39379,1.03396,0.005248,0.005248,0.005248
50,2898.06,1.00603,0.44593,1.02794,0.9832,0.94943,0.97613,0.71967,1.04461,0.39752,1.03635,0.005149,0.005149,0.005149
51,2955.93,1.00118,0.44539,1.02363,0.98032,0.95298,0.97823,0.72101,1.04041,0.38083,1.02949,0.00505,0.00505,0.00505
52,3013.8,1.00224,0.44479,1.01888,0.97913,0.9467,0.97379,0.71532,1.04408,0.39334,1.02915,0.004951,0.004951,0.004951
53,3071.56,0.99241,0.4387,1.02238,0.98124,0.95319,0.9788,0.71816,1.04257,0.38827,1.03387,0.004852,0.004852,0.004852
54,3129.42,0.99163,0.43978,1.01675,0.98172,0.9542,0.97869,0.71946,1.04735,0.385,1.0342,0.004753,0.004753,0.004753
55,3187.3,1.00291,0.43944,1.02293,0.98105,0.94579,0.97493,0.71754,1.03374,0.38151,1.02778,0.004654,0.004654,0.004654
56,3245.21,0.99102,0.43218,1.02096,0.9867,0.94651,0.9764,0.71574,1.04118,0.38243,1.03323,0.004555,0.004555,0.004555
57,3302.95,0.98432,0.43584,1.0169,0.97847,0.95225,0.97736,0.71956,1.03466,0.3831,1.03474,0.004456,0.004456,0.004456
58,3360.94,0.98069,0.42685,1.01429,0.98147,0.94943,0.97775,0.72071,1.04159,0.37848,1.03106,0.004357,0.004357,0.004357
59,3418.96,0.96946,0.42645,1.00832,0.98252,0.95125,0.97628,0.72393,1.03717,0.37784,1.03223,0.004258,0.004258,0.004258
60,3476.99,0.97236,0.42296,1.01582,0.98119,0.95078,0.9764,0.7231,1.038,0.37479,1.03426,0.004159,0.004159,0.004159
61,3534.93,0.9765,0.42589,1.01382,0.97273,0.95876,0.97578,0.71928,1.04328,0.37631,1.0355,0.00406,0.00406,0.00406
62,3592.84,0.96601,0.41775,1.01187,0.97704,0.95015,0.97613,0.72253,1.03585,0.37857,1.03384,0.003961,0.003961,0.003961
63,3650.83,0.96565,0.42004,1.01338,0.97837,0.95171,0.97589,0.72155,1.02992,0.37408,1.03409,0.003862,0.003862,0.003862
64,3708.9,0.96414,0.41413,1.01114,0.98352,0.95353,0.97703,0.72295,1.03871,0.3766,1.04018,0.003763,0.003763,0.003763
65,3766.93,0.95156,0.41274,1.00872,0.98167,0.95157,0.9765,0.71978,1.03454,0.37069,1.03609,0.003664,0.003664,0.003664
66,3824.96,0.95925,0.41211,1.00743,0.98575,0.94555,0.97516,0.72071,1.03573,0.37106,1.03329,0.003565,0.003565,0.003565
67,3883,0.96196,0.41497,1.01439,0.97989,0.95468,0.97374,0.72004,1.03735,0.37222,1.03582,0.003466,0.003466,0.003466
68,3940.99,0.9439,0.40458,1.00092,0.97333,0.95444,0.97474,0.72432,1.03498,0.36952,1.03196,0.003367,0.003367,0.003367
69,3999.15,0.93987,0.40609,1.00157,0.97886,0.95034,0.97476,0.7236,1.03439,0.36626,1.02995,0.003268,0.003268,0.003268
70,4057.27,0.93303,0.39826,0.99686,0.97941,0.95365,0.97516,0.72253,1.03699,0.36669,1.02979,0.003169,0.003169,0.003169
71,4115.38,0.94051,0.40223,0.99981,0.98252,0.95171,0.97601,0.72469,1.03739,0.36657,1.02954,0.00307,0.00307,0.00307
72,4173.54,0.92935,0.39704,0.99431,0.98048,0.9508,0.97481,0.72473,1.03282,0.36691,1.02797,0.002971,0.002971,0.002971
73,4231.65,0.92778,0.39678,0.99346,0.98491,0.95151,0.97801,0.72426,1.03436,0.3648,1.02953,0.002872,0.002872,0.002872
74,4289.73,0.93274,0.39335,0.99545,0.98307,0.95228,0.97774,0.72545,1.03711,0.36331,1.03039,0.002773,0.002773,0.002773
